Page Title,New node,Introduction,Essays,Arguments,Features,Reviews,GPPN Student Essay Contest,Andrew Wellington Cordier Student Essay Contest,Visual Essays,Read
Iran,/content/iran,Editors' Foreword - JIA Editorial Board,"Iran Between East and West - Richard W. Bulliet
Iranian Women's Status and Struggles since 1979 - Nikki R. Keddie
The Ahmadinejad Era: Preparing for the Apocalypse - Jahangir Amuzegar
Domestic Tribulations and International Repercussions: The State and the Transformation of Non-Muslims - Eliz Sanasarian and Avi Davidi
Tackling the Iran-U.S. Crisis: The Need for a Paradigm Shift - Mohammad Javad Zarif
Rediscovering Containment: The Sources of American-Iranian Conduct - Isaiah Wilson III
The Nuclear Players - Karim Sadjadpour
A Nuclear Iran: Promoting Stability or Courting Disaster? - The Debate: Scott Sagan and Kenneth Waltz
Iran's Regional Policy: Between Radicalism and Pragmatism - David Menashri
The Iranian Spectacle: An Istanbul Dispatch - Afshin Molavi",,The US-Iran Relationship: Interview - Ian Bremmer,"REVIEW ESSAYS
The Shia Revival: A Threat or an Opportunity? - Mahmood Sariolghalam
Who's the ""We"" in ""We Are Iran""? - Maryam Javanshir
After the Revolution Is Before the Revolution - Mirjam Künkler

Further Reading
Deena Guzder
Joe Gilbride
Amy L. Keith
Rose Carmen Goldberg
David Trilling
Lesia Lozowy
Caroline McGregor
Abigail Schade
Alexandra A. Meise
Joe Speicher
Dan McSweeney",,The Shanghai Cooperation Organization and Iran: A Power-Full Union - Matthew Brummer,,JSTOR
Historical Reconciliation,/content/historical-reconciliation,Editors' Foreword - JIA Editorial Board,"Historical Reconciliation: Redress, Rights and Politics - Elazar Barkan, Capstone
Transitional Justice: A Holistic Interpretation - Alexander L. Boraine
Depolarizing the Past: The Role of Historical Commissions in Conflict Mediation and Reconciliation - Alexander M. Karn
Negotiating Truth: The Holocaust, Lehavdil, and al-Nakba - Ian S. Lustick
Reconciliation as a Dirty Word: Conflict, Community Relations and Education in Northern Ireland - Lesley McEvoy, Kieran McEvoy and Kirsten McConnachie
Sri Lanka's Conflict: Culture and Lineages of the Past - Nira Wickramasinghe
Confederate Memory and Monuments: Of Judicial Opinions, Statutes and Buildings - Alfred L. Brophy
Reconciliation and Economic Reaction: Flaws in South Africa's Elite Transition - Patrick Bond
Is Reconciliation Between Hutus and Tutsis Possible? - Marie Béatrice Umutesi
The Politics of Victimhood: Historical Memory and Peace in Spain and the Basque Region - Ross B. MacDonald and Monica C. Bernardo",,"Speaking to Reconciliation: Perspectives from the Field - F.W. de Klerk, Benjamin B. Ferencz and Priscilla B. Hayner
","REVIEW ESSAYS
Social Security: A History of African Americans and the Welfare State - Raymond A. Winbush
One Korea Again: When, If and How? - Aleksandr Ilitchev
The Understated Solution - Zachary Wales
Africa Through the Looking Glass - Kenneth Lizzio
Testing the Scales: Reconciliation and Justice in the Case of Uganda - Jeremy Goldberg

FURTHER READING
Short Reviews by - 
Colin McGee
Valeria Severini
Deborah Camara Batista
Lisa M. Chung
Amiya Dingare
Jessica A. Keith
Lesia Lozowy
Ian Robertson
Saúl Acosta Gómez",,"Reconciliation in Rwanda: Education, History and the State - Marian Hodgkin",,JSTOR
The Globalization of Disaster,/content/globalization-disaster,Editors' Foreword - JIA Editorial Board,"Globalization of Disaster: Trends, Problems and Dilemmas - David Alexander
The Changing Face of Normal Disaster: Risk, Resilience and Natural Security in a Changing Climate - Nathan E. Hultman and Alexander S. Bozmoski
A Critical Evaluation of the United Nations Volcanic Emergency Management System: Evidence from Latin America - Jesús Manuel Macías and Benigno E. Aguirre
UK Emergency Preparedness: A Step in the Right Direction? - Geoff O'Brien
National Preparedness Planning: The Historical Context and Current State of the U.S. Public's Readiness, 1940-2005 - Irwin Redlener and David A. Berman
Combating Infectious Diseases in East Asia: Securitization and Global Public Goods for Health and Human Security - Mely Caballero-Anthony
Towards a Comparative Political Ethnography of Disaster Prevention - Alex de Waal
The Responders' Cauldron: The Uniqueness of International Disaster Response - Arjun Katoch
""Regarding the Pain of Others"": Media, Bias and the Coverage of International Disasters - Susan D. Moeller
Rethinking International Disaster Aid Finance - Joanna Syroka and Richard Wilcox
Acting on Disaster Diplomacy - Ilan Kelman
Globalization and Disasters: Issues of Public Health, State Capacity and Political Action - Frederick M. Burkle Jr.","Disaster Reconstruction and Risk Management for Poverty Reduction - Margaret Arnold
The Rise of the Relief-and-Reconstruction Complex - Walden Bello
",Disaster Response and Recovery: Strategies and Tactics for Effective Operations by David A. McEntire - Christopher E. Kuonqui,"Scarcity, Crises and Choice - Jack A. Goldstone
When the Invisible Hand Fails to Catch the Poor: The Relationship between Risk and Poverty - Vsevolod Gunitskiy
Preparing for the Next Outbreak: Is America Asking the Right Questions? - Sandra Chapman
Blossoming Networks and Integrated Infrastructure: Mitigating Disaster through Human-Centered Technology - Aaron Clark",,Political Capital Deficits in Zimbabwean Famine: National and International Responsibility for Prevention Failure - Cary McClelland,"РHOTO ESSAY
Rebuilding Lives: The Aftermath of the South Asia Earthquake - Jim Stipe
",JSTOR
The Politics of the Sea,/content/politics-sea,Editors' Foreword - JIA Editorial Board,"Mineral Resources of Stateless Space: Lessons from the Deep Seabed - Caitlyn L. Antrim
Offshore Oil and Gas Resources: Economics, Politics and the Rule of Law in the Nigeria-São Tomé e Príncipe Joint Development Zone - Hurst Groves
Enhancing Maritime Security in the Straits of Malacca and Singapore - J. Ashley Roach
Seeking Effectiveness for the Crackdown of Piracy at Sea - Zou Keyuan
Understanding Maritime Jurisdictional Disputes: The East China Sea and Beyond - John Donaldson and Alison Williams
Sea Trade and Security: An Assessment of the Post-9/11 Reaction - John R. Harrald
Contributing to Ocean Security: Global Environmental Facility Support for Integrated Management of Land-Sea Interactions - Alfred M. Duda
Titanic States? Impacts and Responses to Climate Change in the Pacific Islands - Jon Barnett
Are High Seas and International Marine Fisheries the Ultimate Sustainable Management Challenge? - Meryl J. Williams","The Senate Should Give Immediate Advice and Consent to the United Nations Convention on the Law of the Sea: Why the Critics Are Wrong - John Norton Moore and William L. Schachte Jr.
Don't Resurrect the Law of the Sea Treaty - Doug Bandow
Spaces in Between: Four Cases of Politics Beyond the Bounds",An Interview with Gudmundur Eiriksson,"Managing Marine Misbehavior: Good Science, Good Policy, Bad Human - Ross B. MacDonald
Maritime Power in a Flat World - Francesco Mancini
In Dire Straits: Why Big Oil Needs Transnational Regulation - John G. Dale
Taming the Tides: The Struggle to Police the Seas - Alisa Newman Hood
Between Science and Ocean Policy: Bridging the Gap - Daniel Doktori",,"Who is Responsible for Marine Debris? The International Politics of Cleaning our Oceans - Justin P. Leous and Neil B. Parry
",,JSTOR
Financing Development,/content/financing-development,"Editors' Foreword - JIA Editorial Board
The MIillennium Development Goals - An Interview with Jeffrey D. Sachs","The Ecology of Global Economic Power: Changing Investment Practices to Promote Environmental Sustainability - Saskia Sassen
Paying for Prosperity: How and Why to Invest in Agricultural Research and Development in Africa - William A. Masters
Building Inclusive Financial Sectors: The Road to Growth and Poverty Reduction - Kathryn Imboden
Meeting the MDGS in Urban Areas: The Forgotten Role of Local Organizations - David Satterthwaite
Aid, Debt Relief and New Sources of Finance for Meeting the Millennium Development Goals - Tony Addison, George Mavrotas and Mark McGillivray
The Composition of Foreign Aid: Consequences for Economic Growth and Welfare - Stephen J. Turnovsky
Investing in Decvelopment: The Millennium Dcvelopment Goals, Aid and Sustainable Capital Accumulation - Rathin Roy and Antoine Heuty
The Poverty of Economic Policy: Is Debt Sustainability Really Sustainable? - Olivier Vallée and Shahin Vallée","Energy and the MDGS: The Impact of Rural Services on Development in Mali - Phi-Hong Ha and Jem Porcaro
Growth, Inequality and Poverty: Some Hard Questions - Ravi Kanbur
Scoring the Millennium Goals: Economic Growth Versus the Washington Consensus - Akbar Noman
Bridging the Gender Gap to Promote Economic and Social Development - Stephan Klasen
Education and the MDGS: Realizing the Millennium Compact - Nancy Birdsall and Milan Vaishnav
",An Interview with Fernando Henrique Cardoso,"Financing the Millennium Development Goals: The Millennium Report - Matthew Wai-Poi
Financing Development from the Outside In - Diego Gomez-Pickering
The True Cost of AIDS - Daniel J. Gerstle
Why Everyone Hates Globalization - Vsevolod Aves
Globalization and Justice For All: The Duty of the United States? - Anastasia Xenias",,Assessing the Impact of HIV/AIDS on Economic Growth and Rural Agriculture in Africa - Joel Negin,,JSTOR
State Building,/content/state-building,Editors' Foreword - JIA Editorial Board,"Antiquated Before They Can Ossify: States That Fail Before They Form - Lisa Anderson
State Building and the Non-Nation-State - Joel S. Migdal
Discourses of Denial - Rosemary E. Shinko
Constitutionalizing Democracy in Fractured Societies - Samuel Issacharoff
Decolonization and State Building in South Asia - Sumantra Bose
Reconstructing the Congo - Herbert F. Weiss and Tatiana Carayannis
State Building in Colombia: Getting Priorities Straight - Michael Shifter and Vinay Jawahar
From War Economy to Peace Economy? Reconstruction and State Building in Afghanistan - Jonathan Goodhand
Institutional Development and Social Policy in Cuba - Julio Carranza Valdés and Juan Valdés Paz
Why There Is No Science of Public Administration - Francis Fukuyama",,An Interview with Lakhdar Brahimi,"Building a Democratic State: Is It Possible? - Robert Pastor
The Unfailing of the State - Alex Gourevitch
And Now For the Hard Part: Measuring Success in Rule of Law Reform - Anna Mansfield
Taking the State to Court: The Importance of Judicial Autonomy in New Democracies - Semra A. Mesulam
Marginalizing Multiculturalism - Bernd Beber
",,Regional Framework for State Reconstruction in the Democratic Republic of Congo - George Zachariah,"РHOTO ESSAY
After Aristide - Devin Asch
",JSTOR
Land,/content/land,Editors' Foreword - JIA Editorial Board,"The Challenge of Worldwide Migration - Michael W. Doyle
Divided Lands, Phantom Limbs: Partition in the Indian Subcontinent, Palestine, China, and Korea - Jonathan D. Greenberg
Mexican Hometown Associations and Development Opportunities - Manuel Orozco, with Michelle Lapointe
Crossings: Mexico and New York - Photo-essay by Michael Kamber
The Imagination of Land and the Reality of Seizure: Zimbabwe's Complex Reinventions - Stephen Chan and Ranka Primorac
The Language Divide: Identity and Literary Choices in Modern Tibet - Patricia Schiaffini
Migration of the Russian Diaspora After the Breakup of the Soviet Union - Timothy Heleniak
An Interview with Manthia Diawara
Remembering the Country of Their Birth: Indigenous Peoples and Territoriality - Maivân Clech Lâm
Palestinians: The Land and the Law, An Inverse Relationship - Roger Heacock
",,,"""Refugees and Forced Displacement: International Security, Human Vulnerability, and the State"" - Edited by Edward Newman and Joanne van Selm
Reviewed by Matthew S. Winters
""Records of Dispossession: Palestinian Refugee Property and the Arab-Israeli Conflict"" - Michael Fischbach
Reviewed by Andrea L. Stanton
""We, the People of Europe? Reflections on Transnational Citizenship"" - Étienne Balibar, translated by James Swenson
Reviewed by Ioannis N. Grigoriadis
""International Migration and Sending Countries: Perceptions, Policies and Transnational Relations"" - Edited by Eva Østergaard-Nielsen
Reviewed by Sarah Dryden-Peterson
",,"The Pamir Paradox: Water Insecurity and Hunger at the Source of Central Asia's Rivers - Daniel J. Gerstle
",,JSTOR
Governance,/content/governance,Foreword - JIA Editorial Board,"""Good Governance"": The Metamorphosis of a Policy Metaphor - Martin Doornbos
Local and Global: International Governance and Civil Society - Julie Fisher
The Private Side of Global Governance - Shareen Hertel
Markets, Workers and Economic Reforms: Reconstructing East Asian Labor Systems - Frederic C. Deyo and Kaan Agartan
The Precarious Revolution: Unchanging Institutions and the Fate of Reform in Iran - Farhad Kazemi
Beyond the Orthodox Paradox: The Breakup of State-Business Coalitions in 1980s Turkey - Isik Ozel
""If I Do These Things, They Will Throw Me Out"": Economic Reform and the Collapse of Indonesia's New Order - Benjamin Smith
Development Without Equality - An Interview with Raul Domingos
Institutionalizing Global Wars: State Transformations in Colombia, 1978-2002 - Francisco Gutiérrez
In Search of Democratic Governance in Central America - Carlos Sojo
Reaching for Stability: Strengthening Civil Society-Donor Partnerships in East Timor - Rebecca E. Engel
Healing Governance? Four Health NGOS in War-Torn Eastern Congo - Dennis Dijkzeul",,"Living Without a Government in Somalia - An Interview with Mark Bradbury
Building a State in Iraq: Is There a Good Precedent? - An Interview with Simon Chesterman","Private Authority and International Affairs and The Emergence of Private Authority and Global Governance - Tim Büthe
Taxation Without Representation in Contemporary Rural China - Ashley Esarey
The Limits of Law: Essays on Democratic Governance - Mona Lena Krook
Power and Governance in a Partially Globalized World - Matthew S. Winters
",,"Stabilizing Macedonia: Conflict Prevention, Development, and Organized Crime - Philip Gounev
",,JSTOR
Central Asia,/content/central-asia,"Editors' Foreword - JIA Editorial Board
Map of Central Asia
Acronyms
","Taking Stock of Central Asia - Martha Brill Olcott
Islam, Islamism and Political Order in Central Asia - Edward W. Walker
Who's Watching the Watchdogs? - Nancy Lubin
The Aral Sea Disaster and the Disaster of International Assistance - lan Small and Noah Bunce
Sizing Up the Central Asian Economies - Anders Åslund
The Caspian Energy Conundrum - Robert M. Cutler
Population Politics in Kazakhstan - Peter Sinnott
Southern Watch: Russia's Policy in Central Asia - Dmitri Trenin
Iran's Pragmatic Regional Policy - Shireen Hunter
The Strategic Future of Central Asia: A View from Washington - Ehsan Ahrari
Warlords to Peacelords? - Gordon Peake
Rethinking Governance in Afghanistan - Nigel J.R. Allan",,Promoting Democracy - An Interview with Stephen Sestanovich,"A review of Necati Polat's Boundary Issues in Central Asia - George Gavrilis
A review of Erika Weinthal's State Making and Environmental Cooperation: Linking Domestic and International Politics in Central Asia - Katia Papagianni
",,"Domestic Sources of Uzbekistan's Foreign Policy, 1991 to the Present - Leila Kazemi
","Photo Essay
A View from Within - Jason Eskenazi",JSTOR
Face of the State,/content/face-state,"Editors' Foreword - JIA Editorial Board
The Shape of Things to Come: Global Aging in the Twenty-first Century - Peter G. Peterson","How Demographic Change Can Lead to Violent Conflic - Jack A. Goldstone
Demographic Engineering and the Struggle for Power - Milica Z. Bookman
Demography and Communalism in India - Neil DeVotta
Israel's Demographic Doom? -Monica Duffy Toft
Migration and Security: Some Key Linkages - Nazli Choucri
Crime and Violence in an Urbanizing World - Ellen Brennan-Galvin
The Global Raiders: Nationalism, Globalization and the South African Brain Drain - Jonathan Crush
The Middle East's Demographic Transition - Ellen Laipson
Climate Fluctuations, Demography and Development-Regional Case Studies - Ariaster B. Chimeli, Carolyn Z. Mutter and Chet Ropelewski
Population, Environment and Security - Richard A. Matthew",,,"LITERATURE REVIEWS
Demographic Change, Natural Resources and Violence: The Current Debate - Colin Kahl
Ecoviolence? Links Between Population Growth, Environmental Scarcity and Violent Conflict in Thomas Homer-Dixon's Work - Nils Petter Gleditsch and Henrik Urdal

BOOK REVIEW
Cultural Politics in Greater Romania: Regionalism, Nation Building, and Ethnic Struggle, 1918-1930 - Irina Livezeanu
Reviewed by Vladimir Solonari",,Strangers in the City: The Hukou and Urban Citizenship in China - Peter W. Mackenzie,,JSTOR
Toeing the Blue Line,/content/toeing-blue-line,Editors' Foreword - JIA Editorial Board,"Balancing Bureaucracy and the Individual: Institutional Reform and Peace Operations - Giandomenico Picco
Civil-Military Coordination in Peacebuilding: The Challenge in Afghanistan - Naomi Weinberger
The Changing Face of Peace Operations: A View from the Field - John Sanderson
Saving Lives with Force: An Agenda for Expanding the ACRI - Michael E. O'Hanlon
Outsourcing War: Mercenaries and the Privatization of Peacekeeping - Steven Brayton
The Development Imperative: Creating the Preconditions for Peace - J. Brian Atwood
Contents
Dividends of Peace: The Economics of Peacekeeping - Harriet Hentges and Jean-Marc Coicaud
Locating Accountability: The Media and Peacekeeping - Susan D. Moeller
Multinational Corporations, Social Responsibility and Conflict - Juliette Bennett
Peace Operations in Africa: Preserving the Brittle State? - Assis Malaquias
Europe's Peacebuilding Hour? Past Failures, Future Challenges - Dan Smith
Beyond Good Offices? The Role of Regional Organizations in Conflict Resolution - Thi Hai Yen Nguyen
The United Nations Post-Brahimi - Interview with Jean-Marie Guéhenno
The Brahimi Report: At a Glance - Brian E. Zittel
",,,"Why Peacekeeping Fails - Dennis Jett
Reviewed by Lise Morjé Howard
Peacemaking and Democratization in the Western Hemisphere - Tommie Sue Montgomery, editor
Reviewed by Arturo Sotomayor
United Nations Peacekeeping Operations: Ad Hoc Missions, Permanent Engagement - Ramesh Thakur and Albrecht Schnabel, editors
Reviewed by Evan N. Resnick",,Cultivating Ripeness Through UN Peacekeeping Operations - Mark Stover,,JSTOR
Children,/content/children,Editors' Foreword - JIA Editorial Board,"The Protection of Children and the Quest for Truth and Justice in Sierra Leone - Ilene Cohn
Toward Mediating the Impact of Forced Migration and Displacement Among Children Affected by Armed Conflict - Beverlee Bruce
Child Labor: Myths, Theories and Facts - Luis F. López-Calva
Children Falling into the Digital Divide - Fabian A. Koss
Eight Is Too Late: Investment in Early Childhood Development - Judith L. Evans
Differing Approaches Combating Child Abuse: US vs. UK - Gerald Landsberg & Corinne Wattam
Eradicating Pedophilia: Toward the Humanization of Society - Ron O'Grady
Intercountry Adoption: A Global Problem or a Global Solution? - Judith Masson",,"Interview with Dr. Peter Piot, Executive Director of UNAIDS - Interviewed by Shoma Chatterjee
Interview with Carol Bellamy, Executive Director of UNICEF - Interviewed by Oliver Smith and Monica Tedeschi","Street Children in Kenya: Voices of Children in Search of a Childhood, by Philip Kilbride, Collette Suda, and Enos Njeru; Children's Rights - edited by Jude Fernando
Reviewed by Adrienne LeBas
Culture, Conflict and Children - Samir Sanad Basta
Reviewed by Shoma Chatterjee
Children of Other Worlds - Jeremy Seabrook
Reviewed by Deirdre A. Brennan",,Unraveling Child Labor and Labor Legislation - Madiha Murshed,,JSTOR
Rogue States,/content/rogue-states,Editors' Foreword - JIA Editorial Board,"The Rise and Decline of Rogue States - Thomas H. Henriksen
What's in a Name? The Changing Foreign Policy Lexicon - Robert S. Litwak
Afghanistan: Ending the Policy Quagmire - Ahmed Rashid
Burma: US Foreign Policy as a Morality Play - Leon T. Hadar
China and the United States: Who Threatens Whom? - Robert A. Pastor
Iran: No Easy Answers - Stephen C. Fairbanks
North Korea: Risks and Rewards of Engagement - Robert Dujarric
Serbia: Reimagining Europe's Outlaw Nation - Julie Mertus
The Kim is Dead! Long Live the Kim! -Charles K. Armstrong
The ""King"" of Libya - Lisa Anderson
Baghdad's Resilient Rogue - Raymond Tanter with Matthew Fogarty
The Butcher of the Balkans - Christian Axboe Nielsen
On the Ground in Iraq - Special Interview with Kathy Kelly
Observations on Rogue Democracies - Barbara Crossette",,,"BOOK REVIEWS
Honey and Vinegar: Incentives, Sanctions, and Foreign Policy - Richard N. Haass and Meghan L. O'Sullivan, editors
Reviewed by Stoyan S. Stoyanov
Persian Mirrors: The Elusive Face of Iran - Elaine Sciolino
Reviewed by Rachel E. Ingber
Negotiating on the Edge - Scott Snyder
Reviewed by Abraham Kim
Appeasement in International Politics - Stephen R. Rock
Reviewed by Holger Schmidt",,Defining Engagement - Evan Resnick,,"JSTOR
ProQuest"
Turkey,/content/turkey,Editors' Foreword - JIA Editorial Board,"Turkey at a Crossroad - Reşat Kasaba and Sibel Bozdoğan
Cleansing Islam from the Public Sphere - M. Hakan Yavuz
Identity Crises and Political Instability in Turkey - Doğu Ergil
The Ottoman Legacy and Turkish Politics - Metin Heper
The Struggles of a ""Strong"" State - Henri J. Barkey
From Emancipation to Liberation: The Changing Role of Women in Turkey's Public Realm - Yeşim Arat
Corruption: The Turkish Challenge -Zeyno Baran
Who Guards the Turkish Press? A Perspective on Press Corruption in Turkey - Andrew Finkel
Turkish Foreign Policy in the Post-Cold War Era: The Challenges of Multi-Regionalism - Sabri Sayari
Turkey in a Changing Security Environment - Ian O. Lesser
The Evolution of the National Security Culture and the Military in Turkey -Ali L. Karaosmanoğlu
Turkey and Eurasia: Opportunities and Risks in the Caspian Pipeline Derby - Laurent Ruseckas
The Political Economy of Turkish Inflation - Asaf Savaş Akat
Neoliberal Globalization and the Democracy Paradox: The Turkish General Elections of 1999 - Ziya Öniş",,,"CURRENT LITERATURE
Academic Review
George E. Gruen",,"Turkey and Israel: Reciprocal and Mutual Imagery in the Media, 1994-1999 - Anat Lewin",,"JSTOR
ProQuest"
Shadow Economies,/content/shadow-economies,Editors' Foreword - JIA Editorial Board,"The Shadow Economy - Graham Farrell, John Roman and Matthew H. Fleming
The Growth of the Shadow Economy in the OECD: Some Preliminary Explanations - Friedrich Schneider
Clandestine Economies, Violence and States in Africa - William Reno
Expendable People: Slavery in the Age of Globalization - Kevin Bales
Underground On American Soil: Undocumented Workers and US Immigration Policy - Francisco L. Rivera-Batiz
Women's Burden: Counter-geographies of Globalization and the Feminization of Survival - Saskia Sassen
Informal Economies, Information and the Environment - Matthew E. Kahn and Alexander S. P. Pfaff
A New Economics of Child Labor: Searching for Answers Behind the Headlines - Sarah L. Bachman
Parasites and Predators: Guerrillas and the Insurrection Economy of Colombia - Alfredo Rangel Suárez
Corruption in Indonesia: A Curable Cancer? - Dwight Y. King
The ""Natasha"" Trade: The Transnational Shadow Market of Trafficking in Women - Donna M. Hughes
Perverse Integration: Drug Trafficking and Youth in the Favelas of Rio de Janeiro - Alba Zaluar
Emerging from Apartheid's Shadow: South Africa's Informal Economy - Christian M. Rogerson",,Marginalizing the Masses - Interview with Noam Chomsky,,,Profit vs. Peace: The Clandestine Diamond Trade in Angola - Jake H. Sherman,,"JSTOR
ProQuest"
Fueling the 21st Century,/content/fueling-21st-century,Editors' Foreword - JIA Editorial Board,"A New Political Economy of Oil? - Edward L. Morse
The Perils of the Petro-State: Reflections on the Paradox of Plenty - Terry Lynn Karl
The Three Gorges Dam and China's Energy Dilemma - Dai Qing and Lawrence R. Sullivan
Russian Energy: A Blessing and a Curse - Marshall I. Goldman
Energy and the Asian Security Nexus - Fereidun Fesharaki
Living With Coal: India's Energy Policy in the 21st Century - R. K. Pachauri
La Apertura: The Opening of Venezuela's Oil Industry - Luis E. Giusti
Path Insistence: Comparing European and American Attitudes Toward Energy - David E. Nye
Nuclear Energy Policy in the European Union: Meltdown or False Alarm? - Debra Johnson
A New Energy Paradigm for the 21st Century - Christopher Flavin and Seth Dunn
Energy Surprises for the 21st Century - Amory Lovins and Chris Lotspeich
The Soft Case for Soft Energy - Jerry Taylor and Peter VanDoren
Biomass Energy and the Poor in the Developing World - Douglas F. Barnes and Willem Floor
Multinationals and the New World of Energy Development: A Corporate Perspective - John F. Imle, Jr.
The Role and Responsibility of Oil Multinationals in Nigeria - Bronwen Manby
Pipelines and Pipe Dreams: Energy Development and Caspian Society - Martha Brill Olcott",,,"Current Literature on Energy
A Review of Recent Studies on Oil and State Formation in the Middle East - Lisa Anderson

Student Book Reviews
Recently Published or Forthcoming Books Related to Energy
",,The Caspian Pipeline Debate Continues: Why Not Iran? - Carolyn Miles,,"JSTOR
ProQuest"
Seeking Institutional Justice,/content/seeking-institutional-justice,"Editors' Foreword - JIA Editorial Board
The Pursuit of International Justice: Present Dilemmas and An Imagined Future - Richard Falk","Beyond the Presidency: International Influence and the Pursuit of Justice - Interview with former U.S. President Jimmy Carter
A Prosecutor's Personal Account: From Nuremberg to Rome - Benjamin Ferencz
Institutions of International Justice - Naomi Roht-Arriaza
NGOS and Human Rights: Sources of Justice and Democracy - Peter Van Tuijl
International Institutions and Gendered Justice - Marsha A. Freeman
Distributing the Gains: Justice and International Trade - Ethan B. Kapstein
Multinational Enterprises and the Prospects for Justice - Debora Spar and David Yoffie
International Justice and the Global Environment - Yozo Yokota
""Neutrality"" and the Absence of Reckoning: A Journalist's Account - Ed Vulliamy
Responding to Rwanda: Accountability Mechanisms in the Aftermath of Genocide - Michael P. Scharf
An International Criminal Tribunal for Rwanda: A Report from the Field - Brenda Sue Thornton
Dilemmas of Transitional Justice: The Case of South Africa's Truth and Reconciliation Commission - Paul van Zyl
Beyond Punishment: Justice in the Wake of Massive Crimes in Argentina - Luis Moreno Ocampo
Elusive Justice for the Victims of the Khmer Rouge - Stephen P. Marks
Northern Ireland: A Promising or Partisan Peace? - Seamus Dunn
Are Sanctions Just? The Problematic Case of Iraq - David Cortright and George A. Lopez","Challenging the Conventional Wisdom: Another View of the International Criminal Court - Alfred P. Rubin
Policy Perspectives Favoring the Establishment of the International Criminal Court - M. Cherif Bassiouni",,,,"Reconciling Order and Justice? New Institutional Solutions in Post-Conflict States - Michelle Sieff and Leslie Vinjamuri Wright
",,"JSTOR
ProQuest"
The Multiple Faces of World Poverty,/content/multiple-faces-world-poverty,Editors' Foreword - JIA Editorial Board,"Beyond the Six Veils: Conceptualizing and Measuring Poverty - Paul Streeten
Poverty and Reforms: Friends or Foes? - Jagdish Bhagwati
Poverty Alleviation: Is Economics Any Help? Lessons from the Grameen Bank Experience - Muhammad Yunus
Women and Poverty or Gender and Well-Being? - Cecile Jackson
The Politics of Marginalization: Poverty and the Rights of the Indigenous People in Mexico - An Interview with Bishop Samuel Ruiz
The Cow and the Thing Called ""What"": Dinka Cultural Perspectives on Wealth and Poverty - Francis M. Deng
Poverty, Children and Transition in Kyrgyzstan: Some Řeflections from the Field - Jude Howell
Is Growth Central to Poverty Alleviation in India? - Raghav Gaiha and Vani Kulkarni
Property Rights for the Rural Poor: The Challenge of Landlessness - Coralie Bryant
A Cloth Untrue: The Evolution of Structural Adjustment in Sub-Saharan Africa - Reginald Herbold Green
Poverty and Population Issues: Clarifying the Connection - Margaret Catley-Carlson and Judith A. M. Outlaw
Reducing Absolute Poverty in China: Current Status and Issues - Alan Piazza and Echo H. Liang","Poverty: A Denial of Human Rights - James Gustave Speth
Global Poverty in the Late 20th Century - Michel Chossudovsky
Responding to Poverty in Uganda: Structures, Policies and Prospects - E. A. Brett
New Strategies for Microenterprise Development: Innovation, Integration and the Trickle Up Approach - Joanne Fairley
",,"Academic Book Review
The New Politics of Inequality in Latin America: Rethinking Participation and Representation - Reviewed by Consuelo Cruz

Student Book Reviews",,The Feminization of Poverty: Unemployment in Russia - Wendy Rhein,,"JSTOR
ProQuest"
Technology and International Policy,/content/technology-and-international-policy,Editors' Foreword - JIA Editorial Board,"Cyberpolitik: The Changing Nature of Power in the Information Age - David J. Rothkopf
Back to the Future: Neomedievalism and the Post Modern Digital World Economy - Stephen J. Kobrin
Electronic Money: A Challenge to the Sovereign State? - Eric Helleiner
Information War, Information Peace - Martin C. Libicki
The Revolution in Military Affairs Outside the West - Ahmed S. Hashim
Economic Growth in the Information Age: From Physical Capital to Weightless Economy - Gavin Cameron
Horse Trading in Cyberspace: U.S. Trade Policy in the Information Age - Ellen L. Frost
Entering the Infosphere - Michael Vlahos
The Framework for Global Electronic Commerce: A Policy Perspective - Interview with Ira C. Magaziner","
The Impact of Technology on Financial Development in East Asia - Joseph Yam
The Path Transformed: Redefining Japan's Role in the Information Economy - Minoru Makihara
Telecommunications in Chile: Success and Post-Deregulatory Challenges in a Rapidly Emerging Economy - Jorge Rosenblut
Globalization and State Autonomy in the Information Age: Telecommunications Sector Restructuring in South Africa - Derrick L. Cogburn
Crime and Corruption in the Digital Age - Louise I. Shelley
The Zapatista Effect: The Internet and the Rise of an Alternative Political Fabric - Harry M. Cleaver, Jr.
Pushing the Envelope Too Far? Technology's Impact on NATO Expansion - Alistair Millar and Daniel T. Plesch
Space Technology and Environmental Monitoring in Brazil - Thelma Krug",,"Academic Book Review
Live, Direct and Biased? Making Television News in the Satellite Age - Jon Western

Student Book Reviews
Book List",,Reorienting for Sustainable Development: Support for a National Science and Technology Policy - Candice S. Levine,,"JSTOR
ProQuest"
